Datatype Run1 Run2 Run3 Run4 Run5 Run6 Run7(Y2S) Run7(Y3S) Total
AllEvents On 292.757 958.702 501.070 1592.974 2103.814 1262.622 419.481 718.466 7849.880
AllEvents Off 33.810 101.126 35.174 149.070 208.389 115.319 43.838 89.535 776.261
1005 On 55.254 164.722 88.321 267.308 344.579 208.664 37.684 88.516 1255.050
1005 Off 5.585 17.560 6.532 21.292 37.813 20.540 3.900 9.880 123.102
1235 On 34.878 105.561 56.035 166.784 215.168 130.336 0.000 0.000 708.762
1235 Off 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
1237 On 34.941 104.348 57.888 169.801 216.089 135.224 0.000 0.000 718.291
1237 Off 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
3429 On 19.687 57.194 49.002 180.077 237.094 139.424 12.245 28.945 723.668
3429 Off 1.926 6.830 8.996 14.494 25.788 14.062 1.275 3.230 76.601
998 On 44.588 185.904 137.541 421.799 554.300 327.032 30.033 67.829 1769.020
998 Off 4.478 20.213 21.125 34.028 60.329 32.950 3.127 8.830 185.080
3046 On 0.490 1.422 0.827 2.531 3.329 1.963 0.633 0.936 12.131
3046 Off 0.063 0.173 0.063 0.204 0.362 0.198 0.086 0.092 1.241
3047 On 0.490 1.422 0.827 2.531 3.329 1.963 0.795 0.797 12.154
3047 Off 0.063 0.173 0.063 0.204 0.362 0.198 0.116 0.072 1.251
9756 On 0.391 1.139 0.660 2.024 2.665 1.568 0.152 0.812 9.411
9756 Off 0.049 0.136 0.051 0.166 0.290 0.158 0.030 0.076 0.956
9757 On 0.383 1.123 0.660 2.024 2.665 1.568 0.178 0.794 9.395
9757 Off 0.049 0.144 0.051 0.166 0.290 0.158 0.014 0.092 0.964
9758 On 0.391 1.139 0.660 2.024 2.665 1.568 0.122 0.850 9.419
9758 Off 0.049 0.144 0.051 0.166 0.290 0.158 0.022 0.084 0.964
9775 On 0.000 0.884 0.827 2.523 3.305 1.955 0.000 1.329 10.823
9775 Off 0.000 0.110 0.063 0.196 0.362 0.198 0.034 0.113 1.076
9776 On 0.000 0.884 0.827 2.523 3.337 1.963 0.227 1.110 10.871
9776 Off 0.000 0.110 0.063 0.222 0.397 0.218 0.010 0.137 1.157
9777 On 0.000 0.355 0.415 1.013 1.334 0.784 0.050 0.914 4.865
9777 Off 0.000 0.048 0.025 0.082 0.145 0.079 0.030 0.076 0.485
9778 On 0.000 0.355 0.331 1.013 1.334 0.784 0.138 0.834 4.789
9778 Off 0.000 0.048 0.025 0.082 0.145 0.079 0.015 0.091 0.485
